ID	DOCULECT	CONCEPT	VALUE	FORM	TOKENS	ALIGNMENT	COGID	BORROWING	NOTE
2123	Mapoyo	WE	naha	naha	n a h a	- n a h - a	638		
2124	Panare	WE	ana	ana	a n a	a n - - - a	638		
2125	Pemón	WE	inna	inna	i n n a	i n - - n a	638		
2126	Tamanaku	WE	jumna	jumna	j u m n a	j u m n a	641		
2127	Tiriyó	WE	anja	anja	a n j a	a n - - j a	638		
2128	Waimiri-Atroari	WE	aʔa	aʔa	a ʔ a	- - a ʔ - a	638		
2129	Waiwai	WE	amna	amna	a m n a	- - a m n a	638		
2130	Wayana	WE	emna	emna	e m n a	- - e m n a	638		
2131	Werikyana	WE	amna	amna	a m n a	- - a m n a	638		
2132	Yawarana	WE	ana	ana	a n a	a n - - - a	638		
2133	Ye'kwana	WE	nɲa	nɲa	n ɲ a	- n - - ɲ a	638		
2134	Yukpa	WE	nana	nana	n a n a	- n a - n a	638		
2135	Akawaio	WHAT	əʔrə	əʔrə	ə ʔ r ə	ə ʔ - r ə	642		
2136	Akuriyó	WHAT	ətɨ	ətɨ	ə t ɨ	ə t - - ɨ	642		
2137	Apalaí	WHAT	otɨ	otɨ	o t ɨ	o t - - ɨ	642		
2138	Arara	WHAT	odɨ	odɨ	o d ɨ	o d - - ɨ	642		
2139	Bakairi	WHAT	ədɨ	ədɨ	ə d ɨ	ə d - - ɨ	642		
2140	Hixkaryána	WHAT	etenɨ	etenɨ	e t e n ɨ	e t e n ɨ	644		
2141	Ikpeng	WHAT	arɨ	arɨ	a r ɨ	a - - r ɨ	642		
2142	Ingarikó	WHAT	əʔrə	əʔrə	ə ʔ r ə	ə ʔ - r ə	642		
2143	Kari'ña	WHAT	otɨ	otɨ	o t ɨ	o t - - ɨ	642		
2144	Karijona	WHAT	ətɨ	ətɨ	ə t ɨ	ə t - - ɨ	642		
2145	Kuikuro	WHAT	tɨ	tɨ	t ɨ	- - - t ɨ	642		
2146	Macushi	WHAT	ɨʔ	ɨʔ	ɨ ʔ	ɨ ʔ - - -	642		
2147	Mapoyo	WHAT	ətɨna	ətɨna	ə t ɨ n a	ə t ɨ n a	642		
2148	Panare	WHAT	nəhpa	nəhpa	n ə h p a	n ə h p a	647		
2149	Pemón	WHAT	ək	ək	ə k	ə k - - -	642		
2150	Tamanaku	WHAT	t͡ʃon	t͡ʃon	t͡ʃ o n	t͡ʃ o n	648		
2151	Tiriyó	WHAT	atɨ	atɨ	a t ɨ	a t - - ɨ	642		
2152	Waimiri-Atroari	WHAT	apia	apia	a p i a	a p i a	650		
2153	Waiwai	WHAT	aht͡ʃe	aht͡ʃe	a h t͡ʃ e	a h t͡ʃ e	645		
2154	Wayana	WHAT	ətɨ	ətɨ	ə t ɨ	ə t - - ɨ	642		
2155	Werikyana	WHAT	timo	timo	t i m o	t i m o	643		
2156	Yawarana	WHAT	atti	atti	a t t i	a t - t i	642		
2157	Ye'kwana	WHAT	aneʔkəəmɨ	aneʔkəəmɨ	a n e ʔ k ə ə m ɨ	a n e ʔ k ə ə m ɨ	646		
2158	Yukpa	WHAT	nop	nop	n o p	n o p	649		
2159	Akawaio	WHITE	aimutun	aimutun	a i m u t u n	- a - i m u t u n -	651		
2160	Apalaí	WHITE	karimutu	karimutu	k a r i m u t u	k a r i m u t u - -	651		
2161	Arara	WHITE	igriden	igriden	i g r i d e n	i g r i d e n	654		
2162	Bakairi	WHITE	t-ape-kẽ-ĩ	tapekẽĩ	t a p e k ẽ ĩ	t a p - - e k ẽ ĩ -	652		
2163	Hixkaryána	WHITE	t-muk-ɲe	tmukɲe	t m u k ɲ e	t - - - m u k - ɲ e	651		
2164	Ikpeng	WHITE	t-apri-ge-m	taprigem	t a p r i g e m	t a p - r i g e - m	652		
2165	Kari'ña	WHITE	t-amuʔ-ne	tamuʔne	t a m u ʔ n e	t a - - m u ʔ - n e	651		
2166	Karijona	WHITE	t-amutu-ne	tamutune	t a m u t u n e	t a - - m u t u n e	651		
2167	Kuikuro	WHITE	alaki	alaki	a l a k i	a l a k i	656		
2168	Macushi	WHITE	aimutun	aimutun	a i m u t u n	- a - i m u t u n -	651		
2169	Mapoyo	WHITE	t-arimuʔ-ne	tarimuʔne	t a r i m u ʔ n e	t a r i m u ʔ - n e	651		
2170	Panare	WHITE	t-amuʔ-ɲe	tamuʔɲe	t a m u ʔ ɲ e	t a - - m u ʔ - ɲ e	651		
2171	Pemón	WHITE	aimutun	aimutun	a i m u t u n	- a - i m u t u n -	651		
2172	Tamanaku	WHITE	t-aremuʔ-ne	taremuʔne	t a r e m u ʔ n e	t a r e m u ʔ - n e	651		
2173	Tiriyó	WHITE	tɨ-koroo-je	tɨkorooje	t ɨ k o r o o j e	t ɨ k o r o o j e	653		
2174	Waimiri-Atroari	WHITE	sakra	sakra	s a k r a	s a k r a	658		
2175	Waiwai	WHITE	tu-mut-we	tumutwe	t u m u t w e	t u - - m u t - w e	651		
2176	Wayana	WHITE	tɨ-koro-ke	tɨkoroke	t ɨ k o r o k e	t ɨ k o r - o k e	653		
2177	Werikyana	WHITE	tu-muʔ-ne	tumuʔne	t u m u ʔ n e	t u - - m u ʔ - n e	651		
2178	Yawarana	WHITE	karasakɨmi	karasakɨmi	k a r a s a k ɨ m i	k a r a s a k ɨ m i	655		
2179	Ye'kwana	WHITE	t-ahere-re	taherere	t a h e r e r e	t a h e r e r e - -	652		
2180	Yukpa	WHITE	sɨw	sɨw	s ɨ w	s ɨ w	657		
2181	Akawaio	WHO	ənɨʔ	ənɨʔ	ə n ɨ ʔ	ə - n ɨ ʔ - - -	659		
2182	Akuriyó	WHO	əkɨ	əkɨ	ə k ɨ	- - - ə k - - ɨ	659		
2183	Apalaí	WHO	onokɨ	onokɨ	o n o k ɨ	o - n o k - - ɨ	659		
2184	Arara	WHO	nok	nok	n o k	- - n o k - - -	659		
2185	Bakairi	WHO	ə̃gɨ	ə̃gɨ	ə̃ g ɨ	- - - ə̃ g - - ɨ	659		
2186	Hixkaryána	WHO	onokɨ	onokɨ	o n o k ɨ	o - n o k - - ɨ	659		
2187	Ikpeng	WHO	onok	onok	o n o k	o - n o k - - -	659		
2188	Ingarikó	WHO	ənɨʔ	ənɨʔ	ə n ɨ ʔ	ə - n ɨ ʔ - - -	659		
2189	Kari'ña	WHO	nokɨ	nokɨ	n o k ɨ	- - n o k - - ɨ	659		
2190	Karijona	WHO	ənəkɨ	ənəkɨ	ə n ə k ɨ	ə - n ə k - - ɨ	659		
2191	Kuikuro	WHO	tɨ	tɨ	t ɨ	t ɨ	660		
2192	Macushi	WHO	anɨʔ	anɨʔ	a n ɨ ʔ	a - n ɨ ʔ - - -	659		
2193	Mapoyo	WHO	nekena	nekena	n e k e n a	- - n e k e n a	659		
2194	Panare	WHO	nək	nək	n ə k	- - n ə k - - -	659		
2195	Pemón	WHO	anɨk	anɨk	a n ɨ k	a - n ɨ k - - -	659		
2196	Tamanaku	WHO	anek	anek	a n e k	a - n e k - - -	659		
2197	Tiriyó	WHO	akɨ	akɨ	a k ɨ	- - - a k - - ɨ	659		
2198	Waimiri-Atroari	WHO	bɨpa	bɨpa	b ɨ p a	b ɨ p a	661		
2199	Waiwai	WHO	onoke	onoke	o n o k e	o - n o k - - e	659		
2200	Wayana	WHO	ənɨkɨ	ənɨkɨ	ə n ɨ k ɨ	ə - n ɨ k - - ɨ	659		
2201	Werikyana	WHO	nak	nak	n a k	- - n a k - - -	659		
2202	Yawarana	WHO	ahnikkə	ahnikkə	a h n i k k ə	a h n i k - k ə	659		
2203	Ye'kwana	WHO	ənəkɨ	ənəkɨ	ə n ə k ɨ	ə - n ə k - - ɨ	659		
2204	Yukpa	WHO	no	no	n o	- - n o - - - -	659		
2205	Akawaio	WOMAN	uriʔsan	uriʔsan	u r i ʔ s a n	- u - r - i ʔ - s a n -	662		
2206	Akuriyó	WOMAN	wərɨʔɨ	wərɨʔɨ	w ə r ɨ ʔ ɨ	w ə - r - ɨ ʔ - - - - ɨ	662		
2207	Apalaí	WOMAN	noʔpo	noʔpo	n o ʔ p o	n o ʔ p o	664		
2208	Arara	WOMAN	pumie	pumie	p u m i e	p u - m i - e	663		
2209	Bakairi	WOMAN	pekodo	pekodo	p e k o d o	p e - k o d o	663		
2210	Hixkaryána	WOMAN	wosɨ	wosɨ	w o s ɨ	w o - s - - - - - - - ɨ	662		
2211	Ikpeng	WOMAN	petkom	petkom	p e t k o m	p e t k o m -	663		
2212	Ingarikó	WOMAN	uriʔsan	uriʔsan	u r i ʔ s a n	- u - r - i ʔ - s a n -	662		
2213	Kari'ña	WOMAN	worɨi	worɨi	w o r ɨ i	w o - r - ɨ - - - - - i	662		
2214	Karijona	WOMAN	wərit͡ʃi	wərit͡ʃi	w ə r i t͡ʃ i	w ə - r - i t͡ʃ - - - - i	662		
2215	Kuikuro	WOMAN	itãõ	itãõ	i t ã õ	- - - - - - - i t ã - õ	662		
2216	Macushi	WOMAN	wɨriʔ	wɨriʔ	w ɨ r i ʔ	w ɨ - r - i ʔ - - - - -	662		
2217	Mapoyo	WOMAN	wərjaʔmu	wərjaʔmu	w ə r j a ʔ m u	w ə - r j a ʔ - - - m u	662		
2218	Panare	WOMAN	wɨnkɨh	wɨnkɨh	w ɨ n k ɨ h	w ɨ n k - ɨ h - - - - -	662		
2219	Pemón	WOMAN	wɨrik	wɨrik	w ɨ r i k	w ɨ - r - i k - - - - -	662		
2220	Tamanaku	WOMAN	aika	aika	a i k a	a i k a	665		
2221	Tiriyó	WOMAN	wəri	wəri	w ə r i	w ə - r - - - - - - - i	662		
2222	Waimiri-Atroari	WOMAN	weri	weri	w e r i	w e - r - - - - - - - i	662		
2223	Waiwai	WOMAN	wosɨ	wosɨ	w o s ɨ	w o - s - - - - - - - ɨ	662		
2224	Wayana	WOMAN	wərɨ	wərɨ	w ə r ɨ	w ə - r - - - - - - - ɨ	662		
2225	Werikyana	WOMAN	worɨsɨ	worɨsɨ	w o r ɨ s ɨ	w o - r - ɨ s - - - - ɨ	662		
2226	Yawarana	WOMAN	urihiamo	urihiamo	u r i h i a m o	- u - r - i h i - a m o	662		
2227	Ye'kwana	WOMAN	wori	wori	w o r i	w o - r - - - - - - - i	662		
2228	Yukpa	WOMAN	worepa	worepa	w o r e p a	w o - r - e p - - - - a	662		
2229	Akawaio	YELLOW	tɨ-kotonpi-re	tɨkotonpire	t ɨ k o t o n p i r e	t ɨ k o t o n p i r e	674		
2230	Apalaí	YELLOW	sewe me	sewe me	s e w e + m e	- - - - - - s e w - - e + m e	666		
2231	Bakairi	YELLOW	t-aparu-rẽ-ĩ	taparurẽĩ	t a p a r u r ẽ ĩ	t a p a r u r ẽ ĩ	670		
2232	Hixkaryána	YELLOW	tɨ-ʃkɨwɨtɨk-ɲe	tɨʃkɨwɨtɨkɲe	t ɨ ʃ k ɨ w ɨ t ɨ k ɲ e	t ɨ ʃ k ɨ w ɨ t ɨ k ɲ e	668		
2233	Ikpeng	YELLOW	anagriwan	anagriwan	a n a g r i w a n	a n a g r i w a n	669		
2234	Kari'ña	YELLOW	t-ɨʔki-re	tɨʔkire	t ɨ ʔ k i r e	t ɨ ʔ k i r e	672		
2235	Karijona	YELLOW	kananamano	kananamano	k a n a n a m a n o	k a n a n a m a n o	667		
2236	Kuikuro	YELLOW	kuaɟa huŋu	kuaɟa huŋu	k u a ɟ a + h u ŋ u	k u a ɟ a + h u ŋ u	681		
2237	Macushi	YELLOW	aʔmutun	aʔmutun	a ʔ m u t u n	a ʔ m u t u n	676		
2238	Mapoyo	YELLOW	s-ipii-re	sipiire	s i p i i r e	s i p i i r e	680		
2239	Panare	YELLOW	t-oʔjaraemuʔ-ɲe	toʔjaraemuʔɲe	t o ʔ j a r a e m u ʔ ɲ e	t o ʔ j a r a e m u ʔ ɲ e	677		
2240	Pemón	YELLOW	suʔkupiju	suʔkupiju	s u ʔ k u p i j u	s u ʔ k u p i j u	675		
2241	Tamanaku	YELLOW	t-aiʔpi-re-me	taiʔpireme	t a i ʔ p i r e m e	t a i ʔ p i r e m e	678		
2242	Tiriyó	YELLOW	kananame	kananame	k a n a n a m e	k a n a n a m - - e	667		
2243	Waimiri-Atroari	YELLOW	ʃiwia	ʃiwia	ʃ i w i a	ʃ i w i a	683		
2244	Waiwai	YELLOW	tɨ-ʃewe-ke	tɨʃeweke	t ɨ ʃ e w e k e	t ɨ - - - - ʃ e w e k e - - -	666		
2245	Wayana	YELLOW	tawam manu	tawam manu	t a w a m + m a n u	t a w a m + m a n u	671		
2246	Werikyana	YELLOW	tɨ-t͡ʃewet͡ʃewe-ne	tɨt͡ʃewet͡ʃewene	t ɨ t͡ʃ e w e t͡ʃ e w e n e	t ɨ t͡ʃ e w e t͡ʃ e w e n e - - -	666		
2247	Yawarana	YELLOW	worestori	worestori	w o r e s t o r i	w o r e s t o r i	679		
2248	Ye'kwana	YELLOW	kɨnota	kɨnota	k ɨ n o t a	k ɨ n o t a	673		
2249	Yukpa	YELLOW	arawupa	arawupa	a r a w u p a	a r a w u p a	682		
